,entryId,driverId,codriverId,manufacturerId,vehicleModel,eligibility,classname,manufacturer,entrantname,groupname,drivername,driverfullname,codrivername,codriverfullname,code
0,37518,524,525,26,Puma Rally1 HYBRID,M,Rally1,Ford,M-SPORT FORD WORLD RALLY TEAM,RC1,O. TÄNAK,Ott TÄNAK,M. JÄRVEOJA,Martin JÄRVEOJA,TÄN
1,37519,700,587,84,GR Yaris Rally1 HYBRID,M,Rally1,Toyota,TOYOTA GAZOO RACING WRT,RC1,K. ROVANPERÄ,Kalle ROVANPERÄ,J. HALTTUNEN,Jonne HALTTUNEN,ROV
2,37520,762,851,33,i20 N Rally1 HYBRID,M,Rally1,Hyundai,HYUNDAI SHELL MOBIS WORLD RALLY TEAM,RC1,T. NEUVILLE,Thierry NEUVILLE,M. WYDAEGHE,Martijn WYDAEGHE,NEU
3,37521,534,553,84,GR Yaris Rally1 HYBRID,M,Rally1,Toyota,TOYOTA GAZOO RACING WRT,RC1,E. EVANS,Elfyn EVANS,S. MARTIN,Scott MARTIN,EVA
4,37522,670,589,84,GR Yaris Rally1 HYBRID,M,Rally1,Toyota,TOYOTA GAZOO RACING WRT,RC1,S. OGIER,Sébastien OGIER,V. LANDAIS,Vincent LANDAIS,OGI
5,37523,548,549,33,i20 N Rally1 HYBRID,M,Rally1,Hyundai,HYUNDAI SHELL MOBIS WORLD RALLY TEAM,RC1,E. LAPPI,Esapekka LAPPI,J. FERM,Janne FERM,LAP
6,37524,785,5507,84,GR Yaris Rally1 HYBRID,,Rally1,Toyota,TOYOTA GAZOO RACING WRT,RC1,T. KATSUTA,Takamoto KATSUTA,A. JOHNSTON,Aaron JOHNSTON,KAT
7,37525,2469,4883,26,Puma Rally1 HYBRID,M,Rally1,Ford,M-SPORT FORD WORLD RALLY TEAM,RC1,P. LOUBET,Pierre-Louis LOUBET,N. GILSOUL,Nicolas GILSOUL,LOU
8,37526,542,3150,33,i20 N Rally1 HYBRID,M,Rally1,Hyundai,HYUNDAI SHELL MOBIS WORLD RALLY TEAM,RC1,D. SORDO,Daniel SORDO,C. CARRERA,Candido CARRERA,SOR
9,37527,3125,3126,26,Puma Rally1 HYBRID,,Rally1,Ford,M-SPORT FORD WORLD RALLY TEAM,RC1,J. SERDERIDIS,Jourdan SERDERIDIS,F. MICLOTTE,Frédéric MICLOTTE,SER
10,37528,628,2085,77,Fabia RS,WRC2 (D/C),Rally2,Skoda,GUS GREENSMITH,RC2,G. GREENSMITH,Gus GREENSMITH,J. ANDERSSON,Jonas ANDERSSON,GRE
11,37529,5357,4078,77,Fabia RS,WRC2 (D/C),Rally2,Skoda,OLIVER SOLBERG,RC2,O. SOLBERG,Oliver SOLBERG,E. EDMONDSON,Elliott EDMONDSON,SOL
12,37530,4676,4945,26,Fiesta MkII,WRC2 (D/C),Rally2,Ford,M-SPORT FORD WORLD RALLY TEAM,RC2,A. FOURMAUX,Adrien FOURMAUX,A. CORIA,Alexandre CORIA,FOU
13,37531,4759,5634,77,Fabia Evo,WRC2 (T),Rally2,Skoda,TOKSPORT WRT 2,RC2,N. GRYAZIN,Nikolay GRYAZIN,K. ALEKSANDROV,Konstantin ALEKSANDROV,GRY
14,37532,3049,798,77,Fabia Evo,WRC2 (T/D/C),Rally2,Skoda,TOKSPORT WRT 2,RC2,E. LINDHOLM,Emil LINDHOLM,R. HÄMÄLÄINEN,Reeta HÄMÄLÄINEN,LIN
15,37533,2475,3144,77,Fabia Evo,WRC2 (DC/CC),Rally2,Skoda,KAJETAN KAJETANOWICZ,RC2,K. KAJETANOWICZ,Kajetan KAJETANOWICZ,M. SZCZEPANIAK,Maciej SZCZEPANIAK,KAJ
16,37534,2462,6124,26,Fiesta MkII,WRC2 (DC/CC),Rally2,Ford,MARTIN PROKOP,RC2,M. PROKOP,Martin PROKOP,M. ERNST,Michal ERNST,PRO
17,37535,7437,4757,77,Fabia Evo,WRC2 (DC/CC),Rally2,Skoda,DANIEL CHWIST,RC2,D. CHWIST,Daniel CHWIST,K. HELLER,Kamil HELLER,CHW
18,37536,5049,1254,77,Fabia Evo,WRC2 (DC/CC),Rally2,Skoda,EDUARDO CASTRO,RC2,E. CASTRO,Eduardo CASTRO,F. MUSSANO,Fernando MUSSANO,CAS
19,37537,5041,5042,77,Fabia,WRC2 (DC/CC),Rally2,Skoda,JORGE MARTINEZ,RC2,J. MARTINEZ,Jorge MARTINEZ,A. ALVAREZ,Alberto ALVAREZ,MAR
20,37538,5371,5372,26,Fiesta Rally3,WRC3,Rally3,Ford,DIEGO DOMINGUEZ,RC3,D. DOMINGUEZ,Diego DOMINGUEZ,R. PEÑATE,Rogelio PEÑATE,DOM
21,37539,1268,1269,13,C3,NACAM,Rally2,Citroen,RICARDO CORDERO,RC2,R. CORDERO,Ricardo CORDERO,M. HERNANDEZ,Marco HERNANDEZ,COR
22,37540,9129,1263,77,Fabia Evo,NACAM,Rally2,Skoda,MIGUEL GRANADOS,RC2,M. GRANADOS,Miguel GRANADOS,M. MARTI,Marc MARTI,GRA
23,37541,12609,1297,77,Fabia,NACAM,Rally2,Skoda,CARLOS SALAS,RC2,C. SALAS,Carlos SALAS,J. ZAPATA,Jaime ZAPATA,SAL
24,37542,1791,12610,26,Fiesta MkII,,Rally2,Ford,JOHN COYNE,RC2,J. COYNE,John COYNE,E. TREACY,Eoin TREACY,COY
25,37543,5584,5152,77,Fabia Evo,NACAM,Rally2,Skoda,SE MAPO MOTORSPORT,RC2,A. MAURO SANCHEZ,Alejandro MAURO SANCHEZ,D. SANJUAN DE EUSEBIO,Diego SANJUAN DE EUSEBIO,MAU
26,37544,1295,1296,26,Fiesta Rally3,WRC3 (DM),Rally3,Ford,JASON BAILEY,RC3,J. BAILEY,Jason BAILEY,S. PETERSON,Shayne PETERSON,BAI
27,37545,9125,9126,69,Clio RS,,Rally5,Renault,PATRICE SPITALIER,RC5,P. SPITALIER,Patrice SPITALIER,N. SPITALIER,Nicolás SPITALIER,SPI
28,37546,9127,1267,69,Clio RS,NACAM,Rally5,Renault,GUSTAVO URIÓSTEGUI,RC5,G. URIOSTEGUI,Gustavo URIOSTEGUI,A. ZAPATA,Armando ZAPATA,URI
