,entryId,4620,4615,4626,4627,4628,4633,4624,4637,4635,4634
0,37518,1,1,7.0,,,,,,,
1,37519,2,2,5.0,,,,,,,
2,37523,3,3,1.0,,,,,,,
3,37521,4,8,3.0,,,,,,,
4,37520,5,5,4.0,,,,,,,
5,37526,6,6,,,,,,,,
6,37522,7,4,2.0,,,,,,,
7,37525,8,7,,,,,,,,
8,37524,9,9,6.0,,,,,,,
9,37532,10,10,,,,,,,,
10,37531,11,11,,,,,,,,
11,37528,12,12,,,,,,,,
12,37533,13,14,,,,,,,,
13,37543,14,21,,,,,,,,
14,37537,15,16,,,,,,,,
15,37541,16,19,,,,,,,,
16,37529,17,13,,,,,,,,
17,37540,18,22,,,,,,,,
18,37527,19,17,,,,,,,,
19,37530,20,15,,,,,,,,
20,37534,21,20,,,,,,,,
21,37539,22,23,,,,,,,,
22,37536,23,18,,,,,,,,
23,37538,24,25,,,,,,,,
24,37535,25,24,,,,,,,,
25,37542,26,27,,,,,,,,
26,37545,27,29,,,,,,,,
27,37544,28,26,,,,,,,,
28,37546,29,30,,,,,,,,
29,37549,30,28,,,,,,,,
30,37548,31,31,,,,,,,,
